国家名,总计确诊,总计疑似,总计治愈,总计死亡,总计重症,总计境外输入,上次更新时间
突尼斯,1157,0,1020,50,0,0,2020-06-22 00:03:55
塞尔维亚,12894,0,11947,261,0,0,2020-06-22 00:03:55
中国,85018,0,79970,4646,0,1876,2020-06-22 09:54:35
日本,18241,0,16298,940,0,0,2020-06-15 07:16:58
泰国,3148,0,3018,58,0,0,2020-06-22 00:03:54
新加坡,42095,0,34942,26,0,0,2020-06-22 01:08:59
韩国,12438,0,10881,280,0,0,2020-06-22 09:54:08
澳大利亚,7474,0,6903,102,0,0,2020-06-22 10:54:10
德国,191272,0,174740,8895,0,0,2020-06-22 02:03:58
美国,2356657,0,980355,122247,0,0,2020-06-22 09:24:06
马来西亚,8572,0,8156,121,0,0,2020-06-22 00:03:55
越南,349,0,327,0,0,0,2020-06-22 00:03:55
圣巴泰勒米,6,0,6,0,0,0,2020-06-12 17:03:12
肯尼亚,4738,0,1607,123,0,0,2020-06-22 02:03:59
伊朗,204952,0,163591,9623,0,0,2020-06-22 00:03:55
以色列,20778,0,15694,306,0,0,2020-06-22 06:04:03
毛利亚尼亚,16,0,6,2,0,0,2020-06-09 19:59:04
黎巴嫩,1587,0,1068,32,0,0,2020-06-22 00:03:54
克罗地亚,2317,0,2142,107,0,0,2020-06-22 00:03:55
奥地利,17341,0,16197,690,0,0,2020-06-22 00:03:54
瑞士,31292,0,29000,1956,0,0,2020-06-22 00:03:54
希腊,3266,0,1374,190,0,0,2020-06-22 00:03:54
毛里求斯,337,0,326,10,0,0,2020-06-22 00:03:55
爱沙尼亚,1981,0,1764,69,0,0,2020-06-22 00:08:54
北马其顿,5106,0,1926,238,0,0,2020-06-22 00:03:54
白俄罗斯,58505,0,37666,346,0,0,2020-06-22 00:03:55
立陶宛,1798,0,1475,76,0,0,2020-06-22 00:03:54
阿塞拜疆,12729,0,6799,154,0,0,2020-06-22 01:08:59
美属维尔京群岛,72,0,46,6,0,0,2020-06-12 17:06:26
蒙古,197,0,98,0,0,0,2020-06-15 13:26:49
乌克兰,37361,0,17078,1012,0,0,2020-06-22 00:03:55
波兰,31931,0,16683,1356,0,0,2020-06-22 00:03:54
波黑,3273,0,2241,169,0,0,2020-06-22 00:03:54
蒙特塞拉特,11,0,10,1,0,0,2020-06-12 17:02:32
南非,97302,0,51608,1930,0,0,2020-06-22 04:09:02
布隆迪,85,0,45,1,0,0,2020-06-15 14:48:50
南苏丹,1755,0,58,30,0,0,2020-06-15 07:27:53
马耳他,665,0,616,9,0,0,2020-06-22 00:03:54
摩尔多瓦,14200,0,7896,473,0,0,2020-06-22 00:03:54
保加利亚,3905,0,2074,199,0,0,2020-06-22 06:04:03
孟加拉,112306,0,45077,1464,0,0,2020-06-22 00:03:54
阿尔巴尼亚,1521,0,1044,36,0,0,2020-06-15 10:20:56
巴勒斯坦,833,0,439,3,0,0,2020-06-22 02:59:02
科摩罗,176,0,114,2,0,0,2020-06-15 13:47:09
阿富汗,28833,0,8764,581,0,0,2020-06-22 00:03:54
沙特阿拉伯,157612,0,101130,1267,0,0,2020-06-22 00:03:55
新西兰,1513,0,1482,22,0,0,2020-06-22 09:54:08
塔吉克斯坦,5457,0,3995,52,0,0,2020-06-22 00:03:55
泽西岛,313,0,292,15,0,0,2020-06-15 13:25:33
叙利亚,177,0,74,6,0,0,2020-06-15 13:51:09
巴拿马,26030,0,14359,501,0,0,2020-06-22 08:59:07
古巴,2312,0,2103,85,0,0,2020-06-22 01:08:58
尼日利亚,20244,0,6879,518,0,0,2020-06-22 07:59:06
摩洛哥,9977,0,8284,214,0,0,2020-06-22 02:03:59
塞内加尔,5888,0,3919,84,0,0,2020-06-22 00:03:55
老挝,19,0,19,0,0,0,2020-06-15 14:24:59
巴哈马,104,0,77,11,0,0,2020-06-22 08:59:07
马约特岛,2282,0,1790,28,0,0,2020-06-15 10:14:23
斯洛文尼亚,1520,0,1376,109,0,0,2020-06-22 00:03:55
卢森堡,4120,0,3956,110,0,0,2020-06-22 01:08:58
爱尔兰,25379,0,22698,1715,0,0,2020-06-22 02:03:59
厄瓜多尔,50640,0,24991,4223,0,0,2020-06-22 01:08:59
捷克,10498,0,7499,336,0,0,2020-06-22 07:59:06
匈牙利,4094,0,2589,570,0,0,2020-06-22 00:03:54
法属圭亚那,1255,0,534,3,0,0,2020-06-15 10:57:56
多哥共和国,530,0,291,13,0,0,2020-06-15 11:45:39
哥斯达黎加,2213,0,1032,12,0,0,2020-06-22 04:09:02
文莱,141,0,138,3,0,0,2020-06-22 00:03:55
法罗群岛,187,0,187,0,0,0,2020-06-15 13:46:38
马提尼克岛,37,0,0,1,0,0,2020-06-22 00:03:54
荷兰,49801,0,186,6109,0,0,2020-06-22 00:03:55
巴西,1083341,0,588118,50591,0,0,2020-06-22 10:54:10
洪都拉斯,12306,0,1275,358,0,0,2020-06-22 00:03:55
乌拉圭,876,0,814,25,0,0,2020-06-22 07:59:06
秘鲁,251338,0,141967,7861,0,0,2020-06-22 06:04:04
智利,242355,0,200569,4479,0,0,2020-06-22 04:09:02
格陵兰,13,0,13,0,0,0,2020-06-15 00:00:31
圣巴托洛谬岛,6,0,6,0,0,0,2020-06-12 17:03:05
马尔代夫,2203,0,1803,8,0,0,2020-06-22 02:03:59
委内瑞拉,3789,0,835,33,0,0,2020-06-22 00:03:54
毛里塔尼亚,2984,0,811,111,0,0,2020-06-22 04:09:02
纳米比亚,31,0,17,0,0,0,2020-06-15 00:00:31
法属留尼汪岛,487,0,447,1,0,0,2020-06-15 13:04:24
波多黎各,5536,0,0,146,0,0,2020-06-13 11:26:34
加纳,14007,0,10473,85,0,0,2020-06-22 02:03:58
赤道几内亚,1664,0,515,32,0,0,2020-06-22 00:03:54
几内亚,4988,0,3669,27,0,0,2020-06-22 05:09:03
卢旺达,728,0,359,2,0,0,2020-06-22 04:09:02
格林纳达,23,0,22,0,0,0,2020-06-15 00:00:31
斯威士兰,635,0,285,5,0,0,2020-06-22 04:09:01
坦桑尼亚,509,0,183,21,0,0,2020-06-22 00:03:55
贝宁,765,0,253,13,0,0,2020-06-22 00:03:54
刚果（金）,5826,0,841,130,0,0,2020-06-22 00:03:55
中非共和国,2808,0,472,23,0,0,2020-06-22 00:03:55
利比里亚,626,0,254,34,0,0,2020-06-22 00:03:54
索马里,2779,0,782,90,0,0,2020-06-22 01:08:58
塞拉利昂,1327,0,788,55,0,0,2020-06-22 02:03:59
乍得,858,0,752,74,0,0,2020-06-22 02:03:59
赞比亚,1430,0,1194,11,0,0,2020-06-22 00:18:57
巴巴多斯,96,0,83,7,0,0,2020-06-15 13:01:51
马里,1933,0,1255,109,0,0,2020-06-22 00:03:55
阿根廷,42785,0,12728,1011,0,0,2020-06-22 08:59:07
法属波利尼西亚,60,0,60,0,0,0,2020-06-15 00:00:31
巴林,21764,0,16419,63,0,0,2020-06-22 06:04:03
莫桑比克,733,0,181,5,0,0,2020-06-22 00:03:55
喀麦隆,11892,0,7710,303,0,0,2020-06-22 06:59:05
乌干达,770,0,578,0,0,0,2020-06-22 00:03:55
厄立特里亚,41,0,39,0,0,0,2020-06-12 16:57:11
刚果（布）,883,0,391,27,0,0,2020-06-22 00:03:55
津巴布韦,489,0,64,6,0,0,2020-06-22 04:09:02
丹麦,12591,0,11482,600,0,0,2020-06-22 00:03:55
阿鲁巴,101,0,98,3,0,0,2020-06-15 14:48:41
斐济,18,0,18,0,0,0,2020-06-22 00:03:55
伯利兹,22,0,17,2,0,0,2020-06-22 00:03:55
缅甸,290,0,200,6,0,0,2020-06-22 00:03:55
塞浦路斯,986,0,824,19,0,0,2020-06-22 01:08:59
关岛,183,0,143,5,0,0,2020-06-14 00:00:31
科索沃,1326,0,921,31,0,0,2020-06-15 10:21:59
圣皮埃尔岛和密克隆岛,1,0,1,0,0,0,2020-06-12 17:03:41
吉尔吉斯斯坦,3151,0,2011,37,0,0,2020-06-22 00:03:55
博茨瓦纳,60,0,24,1,0,0,2020-06-15 00:00:31
尼日尔,1036,0,911,67,0,0,2020-06-22 05:09:03
苏里南,314,0,106,8,0,0,2020-06-22 06:59:05
佛得角,890,0,413,8,0,0,2020-06-22 08:59:07
萨尔瓦多,4626,0,2535,98,0,0,2020-06-22 00:03:55
圭亚那,159,0,99,12,0,0,2020-06-15 13:51:31
尼加拉瓜,1823,0,1238,64,0,0,2020-06-22 00:03:55
冈比亚,28,0,24,1,0,0,2020-06-15 00:00:31
东帝汶,24,0,24,0,0,0,2020-06-12 16:58:23
巴基斯坦,176617,0,67892,3501,0,0,2020-06-22 00:03:54
埃及,55233,0,14736,2193,0,0,2020-06-22 04:09:02
科威特,39650,0,31240,326,0,0,2020-06-22 00:03:55
斯洛伐克,1587,0,1447,28,0,0,2020-06-22 00:03:55
直布罗陀,176,0,173,0,0,0,2020-06-15 13:47:38
摩纳哥,99,0,93,4,0,0,2020-06-16 00:00:31
巴拉圭,1379,0,871,13,0,0,2020-06-22 02:59:02
荷属安的列斯,22,0,15,1,0,0,2020-06-12 16:58:47
多米尼克,18,0,16,0,0,0,2020-06-15 00:00:31
乌兹别克斯坦,6315,0,4377,19,0,0,2020-06-22 04:09:02
黑山,362,0,315,9,0,0,2020-06-22 02:03:59
危地马拉,13145,0,2711,531,0,0,2020-06-22 09:54:09
加蓬,4428,0,1750,34,0,0,2020-06-22 00:08:54
苏丹,8580,0,3325,521,0,0,2020-06-22 00:03:55
利比亚,571,0,103,10,0,0,2020-06-22 07:59:06
圣马丁岛,77,0,61,15,0,0,2020-06-15 14:48:56
土耳其,187685,0,160240,4950,0,0,2020-06-22 02:03:59
巴布亚新几内亚,8,0,8,0,0,0,2020-06-12 17:02:54
多米尼加,26677,0,15138,662,0,0,2020-06-22 00:03:54
约旦,1033,0,739,9,0,0,2020-06-22 00:03:54
亚美尼亚,20268,0,9002,350,0,0,2020-06-22 00:03:54
圣基茨和尼维斯,15,0,15,0,0,0,2020-06-12 17:01:29
瓜德罗普,171,0,157,14,0,0,2020-06-15 13:49:44
安提瓜和巴布达,26,0,22,3,0,0,2020-06-22 00:03:55
玻利维亚,24388,0,5454,773,0,0,2020-06-22 10:54:11
哥伦比亚,65813,0,25549,2235,0,0,2020-06-22 02:03:58
圣文森特和格林纳丁斯,27,0,25,0,0,0,2020-06-12 16:57:52
圣卢西亚,19,0,18,0,0,0,2020-06-12 16:59:25
法国,197008,0,74496,29643,0,0,2020-06-22 04:09:02
阿联酋,44925,0,32415,302,0,0,2020-06-22 00:03:55
加拿大,103078,0,65249,8482,0,0,2020-06-22 06:59:05
印度,410461,0,227756,13254,0,0,2020-06-22 07:24:06
英国,305803,0,1319,42717,0,0,2020-06-22 07:24:06
意大利,238499,0,182893,34634,0,0,2020-06-22 01:08:58
俄罗斯,583879,0,339142,8101,0,0,2020-06-22 00:03:54
菲律宾,30052,0,7893,1169,0,0,2020-06-22 00:03:55
芬兰,7143,0,6200,326,0,0,2020-06-22 00:03:54
尼泊尔,9026,0,1772,23,0,0,2020-06-22 00:03:54
葡萄牙,39133,0,25376,1530,0,0,2020-06-22 00:03:55
也门,941,0,347,256,0,0,2020-06-22 02:03:59
塞舌尔,11,0,11,0,0,0,2020-06-15 00:00:31
西班牙,293352,0,196958,28323,0,0,2020-06-22 07:14:06
斯里兰卡,1950,0,1498,11,0,0,2020-06-22 00:18:57
阿尔及利亚,11771,0,8422,845,0,0,2020-06-22 01:08:58
柬埔寨,129,0,127,0,0,0,2020-06-22 00:03:54
海地,5077,0,24,88,0,0,2020-06-22 00:03:54
瑞典,56043,0,0,5053,0,0,2020-06-22 00:03:55
特里尼达和多巴哥,123,0,109,8,0,0,2020-06-15 14:48:06
吉布提,4582,0,3859,45,0,0,2020-06-22 00:03:54
圣多美与普林西比,659,0,176,12,0,0,2020-06-15 11:44:39
布基纳法索,903,0,814,53,0,0,2020-06-22 07:59:06
比利时,60550,0,16771,9696,0,0,2020-06-22 00:08:54
伊拉克,30868,0,13935,1100,0,0,2020-06-22 01:08:58
马拉维,730,0,258,11,0,0,2020-06-22 06:04:03
冰岛,1823,0,1805,10,0,0,2020-06-22 00:03:55
几内亚比绍,1541,0,153,17,0,0,2020-06-22 00:18:57
拉脱维亚,1111,0,903,30,0,0,2020-06-22 00:18:57
不丹,66,0,21,0,0,0,2020-06-15 14:49:07
挪威,8745,0,8138,244,0,0,2020-06-22 07:59:06
印度尼西亚,45891,0,18404,2465,0,0,2020-06-22 00:03:55
安哥拉,183,0,77,9,0,0,2020-06-22 04:09:02
开曼群岛,187,0,115,1,0,0,2020-06-15 13:46:13
埃塞俄比亚,4532,0,1213,74,0,0,2020-06-22 00:03:55
梵蒂冈,12,0,12,0,0,0,2020-06-15 00:00:31
科特迪瓦,7492,0,3068,54,0,0,2020-06-22 06:04:03
卡塔尔,87369,0,68319,98,0,0,2020-06-22 00:03:54
莱索托,4,0,2,0,0,0,2020-06-12 17:03:24
格鲁吉亚,906,0,755,14,0,0,2020-06-22 00:03:55
墨西哥,180545,0,134495,21825,0,0,2020-06-22 08:59:07
圣马力诺,696,0,610,42,0,0,2020-06-22 00:03:55
哈萨克斯坦,17225,0,10897,120,0,0,2020-06-22 02:03:59
安道尔,855,0,792,52,0,0,2020-06-22 00:03:54
牙买加,659,0,516,10,0,0,2020-06-22 09:54:09
格恩西岛,252,0,238,13,0,0,2020-06-15 13:26:03
罗马尼亚,24045,0,16911,1512,0,0,2020-06-22 00:03:54
阿曼,29471,0,15552,131,0,0,2020-06-22 00:03:54
列支敦士登,82,0,55,1,0,0,2020-06-15 14:25:46
马达加斯加,1596,0,655,14,0,0,2020-06-22 00:03:55
